Fold 1
Token accuracy: 0.9632731018498648, Sentence accuracy: 0.5471747471224276, Total tokens: 232990, Total sentences: 11468, Correct tokens: 224433, Correct sentences: 6275, Test sentences: 11468
Fold 2
Token accuracy: 0.9631955293834875, Sentence accuracy: 0.5471747471224276, Total tokens: 232988, Total sentences: 11468, Correct tokens: 224413, Correct sentences: 6275, Test sentences: 11468
Fold 3
Token accuracy: 0.962194937746801, Sentence accuracy: 0.5389780258109522, Total tokens: 231715, Total sentences: 11468, Correct tokens: 222955, Correct sentences: 6181, Test sentences: 11468
Fold 4
Token accuracy: 0.962784182738929, Sentence accuracy: 0.5464771538193234, Total tokens: 232025, Total sentences: 11468, Correct tokens: 223390, Correct sentences: 6267, Test sentences: 11468
Fold 5
Token accuracy: 0.9632701728919879, Sentence accuracy: 0.5494419253575166, Total tokens: 231474, Total sentences: 11468, Correct tokens: 222972, Correct sentences: 6301, Test sentences: 11468
Average token accuracy: 0.9629435849222141
Average sentence accuracy: 0.5458493198465295
Tag: ADJ, Recall: 0.9223634094470474, Precision: 0.9233874942747878, F1 Score: 0.9228721479531101, F0.5 Score: 0.9231805624002234, F2 Score: 0.9225661123106527
Tag: ADP, Recall: 0.9658685166900334, Precision: 0.9547630690975163, F1 Score: 0.9602835361273512, F0.5 Score: 0.9569635863121555, F2 Score: 0.9636267103060524
Tag: ADV, Recall: 0.9047863909253785, Precision: 0.9127478395353996, F1 Score: 0.9087486452623684, F0.5 Score: 0.9111436939438056, F2 Score: 0.9063668947383574
Tag: CONJ, Recall: 0.9931652016885273, Precision: 0.9904297659564953, F1 Score: 0.9917952278832015, F0.5 Score: 0.990975410921483, F2 Score: 0.9926166691172735
Tag: DET, Recall: 0.9877717454262493, Precision: 0.968712007057376, F1 Score: 0.978148540421915, F0.5 Score: 0.9724645707502504, F2 Score: 0.9838997076858407
Tag: NOUN, Recall: 0.9590300898785209, Precision: 0.9650912976744298, F1 Score: 0.9620506025652998, F0.5 Score: 0.9638725842197122, F2 Score: 0.9602358865246599
Tag: NUM, Recall: 0.913878424298668, Precision: 0.9716713609444305, F1 Score: 0.9418795265655314, F0.5 Score: 0.9595287678089137, F2 Score: 0.924874540503742
Tag: PRON, Recall: 0.9851847703045239, Precision: 0.9603538816702825, F1 Score: 0.9726100943767515, F0.5 Score: 0.9652189331132759, F2 Score: 0.9801158901533071
Tag: PRT, Recall: 0.9016606281270988, Precision: 0.9050628208344786, F1 Score: 0.903354947343885, F0.5 Score: 0.9043780332544639, F2 Score: 0.9023367409012476
Tag: VERB, Recall: 0.9596195327512177, Precision: 0.9707040019798973, F1 Score: 0.9651291352075893, F0.5 Score: 0.9684661478762837, F2 Score: 0.9618156171381586
Tag: ., Recall: 0.9998577442702221, Precision: 0.9996203031712685, F1 Score: 0.9997389970036741, F0.5 Score: 0.9996677742945105, F2 Score: 0.9998102389491281
Tag: X, Recall: 0.5243504866877524, Precision: 0.7305088575249413, F1 Score: 0.6083752477309651, F0.5 Score: 0.6753984494838361, F2 Score: 0.5546915140403185
